UnitName;;;;;;UnitName;PACKMLv30
;Command;;;;;UnitName.Command;PMLc
;;UnitMode;;;;UnitName.Command.UnitMode;Int (32bit)
;;UnitModeChangeRequest;;;;UnitName.Command.UnitModeChangeRequest;Bool
;;MachSpeed;;;;UnitName.Command.MachSpeed;Real
;;MaterialInterlock;;;;UnitName.Command.MaterialInterlocks;Bool Struct
;;MaterialLow;;;;UnitName.Command.MaterialLow;Bool Struct
;;CntrlCmd;;;;UnitNameCommand.CntrlCmd;Int (32bit)
;;CmdChangeRequest;;;;UnitName.Command.CmdChangeRequest;Bool
;;RemoteInterface[#];;;;UnitName.Command.RemoteInterface[#];Interface
;;;Number;;;UnitName.Command.RemoteInterface[#].Number;Int (32bit)
;;;ControlCmdNumber;;;UnitName.Command.RemoteInterface[#].ControlCmdNumber;Int (32bit)
;;;CmdValue;;;UnitName.Command.RemoteInterface[#].CmdValue;Int (32bit)
;;;Parameter[#];;;UnitName.Command.RemoteInterface[#].Parameter[#];Descriptor
;;;;ID;;UnitName.Command.RemoteInterface[#].Parameter[#].ID;Int (32bit)
;;;;Name;;UnitName.Command.RemoteInterface[#].Parameter[#].Name;String
;;;;Unit;;UnitName.Command.RemoteInterface[#].Parameter[#].Unit;String
;;;;Value;;UnitName.Command.RemoteInterface[#].Parameter[#].Value;Real
;;Parameter[#];;;;UnitName.Command.Parameter[#];Descriptor
;;;ID;;;UnitName.Command.Parameter[#].ID;Int (32bit)
;;;Name;;;UnitName.Command.Parameter[#].Name;String
;;;Unit;;;UnitName.Command.Parameter[#].Unit;String
;;;Value;;;UnitName.Command.Parameter[#].Value;Real
;;Product[#];;;;UnitName.Command.Product[#];Product
;;;ProductID;;;UnitName.Command.Product[#].ProductID;Int (32bit)
;;;ProcessVariables[#];;;UnitName.Command.Product[#].ProcessVariables[#];Descriptor
;;;;ID;;UnitName.Command.Product[#].ProcessVariables[#].ID;Int (32bit)
;;;;Name;;UnitName.Command.Product[#].ProcessVariables[#].Name;String
;;;;Unit;;UnitName.Command.Product[#].ProcessVariables[#].Unit;String
;;;;Value;;UnitName.Command.Product[#].ProcessVariables[#].Value;Real
;;;Ingredients[#];;;UnitName.Command.Product[#].Ingredients[#];Ingredient
;;;;IngredientID;;UnitName.Command.Product[#].Ingredients[#].IngredientID;Int (32bit)
;;;;Parameter[#];;UnitName.Command.Product[#].Ingredients[#].Parameter[#];Descriptor
;;;;;ID;UnitName.Command.Product[#].Ingredients[#].Parameter[#].ID;Int (32bit)
;;;;;Name;UnitName.Command.Product[#].Ingredients[#].Parameter[#].Name;String
;;;;;Unit;UnitName.Command.Product[#].Ingredients[#].Parameter[#].Unit;String
;;;;;Value;UnitName.Command.Product[#].Ingredients[#].Parameter[#].Value;Real
;;;;;;;
;Status;;;;;UnitName.Status;PMLs
;;UnitModeCurrent;;;;UnitName.Status.UnitModeCurrent;Int (32bit)
;;UnitModeRequested;;;;UnitName.Status.UnitModeRequested;Bool
;;UnitModeChangeInProcess;;;;UnitName.Status.UnitModeChangeInProcess;Bool
;;StateCurrent;;;;UnitName.Status.StateCurrent;Int (32bit)
;;StateRequested;;;;UnitName.Status.StateRequested;Int (32bit)
;;StateChangeInProcess;;;;UnitName.Status.StateChangeInProcess;Bool
;;MachSpeed;;;;UnitName.Status.MachSpeed;Real
;;CurMachSpeed;;;;UnitName.Status.CurMachSpeed;Real
;;MaterialInterlock;;;;UnitName.Status.MaterialInterlock;Bool Struct
;;MaterialLow;;;;UnitName.Status.MaterialLow;Bool Struct
;;RemoteInterface[#];;;;UnitName.Status.RemoteInterface[#];Interface
;;;Number;;;UnitName.Status.RemoteInterface[#].Number;Int (32bit)
;;;ControlCmdNumber;;;UnitName.Status.RemoteInterface[#].ControlCmdNumber;Int (32bit)
;;;CmdValue;;;UnitName.Status.RemoteInterface[#].CmdValue;Int (32bit)
;;;Parameter[#];;;UnitName.Status.RemoteInterface[#].Parameter[#];Descriptor
;;;;ID;;UnitName.Status.RemoteInterface[#].Parameter[#].ID;Int (32bit)
;;;;Name;;UnitName.Status.RemoteInterface[#].Parameter[#].Name;String
;;;;Unit;;UnitName.Status.RemoteInterface[#].Parameter[#].Unit;String
;;;;Value;;UnitName.Status.RemoteInterface[#].Parameter[#].Value;Real
